PosGroup,Height,Weight,Birthdate,Exp
dback,73,196,3-Aug-89,6
off,77,308,5-Jun-91,4
lineb,75,260,6-Sep-88,6
dback,72,195,6-Feb-92,3
dback,71,202,28-Oct-92,0
dback,71,205,24-Mar-81,13
off,79,323,10-Mar-90,5
lineb,74,228,11-Apr-92,1
dback,70,195,24-Jan-90,4
dback,71,200,21-Jul-92,2
dback,73,218,19-Jun-91,3
lineb,74,233,30-Sep-91,2
lineb,72,235,20-Apr-95,0
lineb,73,227,3-Aug-94,2
lineb,73,245,31-May-83,10
dback,70,192,12-Nov-93,0
dback,73,220,16-Feb-91,3
dback,70,186,1-Nov-88,4
dback,73,210,23-Sep-88,5
dback,73,197,29-Oct-88,5
off,74,296,24-Sep-92,0
dback,72,210,30-Nov-87,7
dback,69,186,18-Dec-91,2
lineb,75,239,14-Aug-90,4
dback,73,205,8-Dec-91,4
dback,72,214,29-Apr-93,2
dback,72,202,6-Jun-89,6
dback,70,195,25-Oct-85,7
lineb,73,235,27-Oct-91,2
lineb,76,244,5-Apr-93,0
lineb,71,224,18-Aug-92,1
off,75,295,10-Jul-92,2
lineb,75,245,28-Jul-92,2
dback,73,199,9-Aug-95,0
lineb,75,235,25-Dec-92,2
off,77,304,23-Jul-91,4
lineb,75,220,5-Mar-91,4
dback,70,186,12-Aug-86,8
lineb,75,252,17-Jan-93,3
lineb,75,255,10-Jul-89,6
dback,72,206,23-Jul-90,5
off,76,310,30-Sep-91,4
off,76,310,1-Mar-94,0
off,78,305,6-Oct-91,1
dback,73,215,21-Jul-87,2
lineb,75,235,20-Aug-92,2
dback,70,207,26-Feb-90,3
dback,74,185,3-Oct-89,4
off,77,326,4-Jan-88,6
dback,70,188,30-Apr-94,0
off,76,306,14-May-88,5
lineb,77,255,18-Mar-92,3
lineb,74,250,17-Nov-92,3
lineb,73,240,5-Oct-90,4
lineb,74,213,27-Oct-89,5
lineb,76,256,11-Sep-90,4
lineb,71,225,27-Nov-90,4
lineb,75,252,20-Dec-90,2
off,75,316,8-Jun-89,5
off,76,305,19-Nov-86,7
lineb,75,246,8-Jul-92,2
dback,71,205,12-Dec-94,0
lineb,73,250,12-May-89,6
off,77,305,25-May-82,12
off,77,315,8-Aug-86,5
dback,72,194,6-Jul-91,3
dback,72,212,29-Dec-88,7
dback,71,206,27-Jul-84,11
dback,72,200,17-Jun-90,5
dback,72,200,17-Jun-90,5
lineb,75,256,25-Nov-92,1
lineb,75,255,25-Feb-90,1
off,76,305,11-Oct-91,3
dback,72,212,27-Oct-84,10
dback,69,198,9-Aug-90,5
dback,73,200,7-Sep-89,5
dback,69,193,21-Jan-93,0
off,75,308,30-Jun-92,3
off,75,302,20-Feb-87,4
off,75,302,20-Feb-87,4
off,77,305,9-May-89,6
lineb,73,236,3-Jul-93,0
lineb,73,245,5-May-91,4
dback,73,205,25-Jun-92,3
dback,73,205,15-Aug-92,0
dback,73,205,15-Aug-92,0
dback,72,191,16-Aug-91,4
off,78,313,13-Jun-91,3
lineb,72,242,28-May-88,7
dback,70,182,13-Jul-90,5
dback,73,210,4-Aug-93,0
lineb,73,248,15-Aug-92,2
dback,72,210,11-Dec-86,9
dback,72,210,11-Dec-86,9
dback,73,196,25-Oct-89,2
dback,71,200,30-Jan-92,3
off,76,305,10-Sep-92,0
off,74,310,27-Apr-90,4
dback,71,200,11-Aug-94,0
off,78,315,29-May-91,3
dback,70,197,20-Aug-88,7
lineb,75,259,14-Mar-84,11
lineb,73,242,8-Feb-93,0
dback,71,192,15-Dec-93,0
dback,71,191,26-Dec-86,5
off,76,315,30-Aug-85,9
lineb,71,221,18-Feb-94,0
lineb,73,251,27-Oct-92,3
dback,74,207,22-May-88,7
lineb,73,248,23-Oct-89,5
lineb,76,265,20-May-90,4
dback,70,198,21-Mar-92,2
dback,70,198,21-Mar-92,2
lineb,73,211,30-Aug-92,3
lineb,73,211,30-Aug-92,3
off,77,314,21-Mar-89,7
lineb,75,245,11-Feb-92,2
lineb,73,250,24-Sep-90,5
dback,70,190,16-Jul-90,3
